nbl,zul
"ukurhulula umbungu ngendlela ephephileko nesemthethweni kusimahla allison cooper akunasizathu esenza abomma basebenzise amatlinigi wokurhulula umbungu angekho emthethweni nangakaphephi nabafuna ukurhulula umbungu.
","ukukhipha isisu ngendlela ephephile nesemthethweni kumahhala allison cooper asikho isizathu sokuthi abesifazane basebenzise imitholampilo ekhipha izisu engekho emthethweni nengaphephile uma befuna ukukhipha isisu.
"
"lokhu kukhulunywe lisekela likangqongqotjhe wezepilo, udorh.
","lokhu kushiwo iphini likangqongqoshe wezempilo udkt sibongiseni dhlomo, ochaze wathi, ngokomthetho bonke abantu besifazane banelungelo lokukhipha isisu, mahhala, kunoma yisiphi isibhedlela noma umtholampilo kahulumeni emasontweni ayi12 okuqala okukhulelwa kwabo.
"
"sibongiseni dhlomo, ohlathulula ukuthi ukuya ngokomthetho, boke abomma banelungelo lokurhulula umbungu, simahla, eembhedlela zombuso namkha emtholapilo lokha nabaneemveke ezili12 zokuthoma basebantwini.
","""kuyadabukisa kithina njengabaholi bakahulumeni ukubona abantu bakithi beshiya izinsizakalo zezempilo eziphephile futhi ezimahhala, noma ngabe yingasiphi isizathu, bahambe bayokhokha imali yabo yokugcina le abangenayo bayokhokhela umuntu ozobeka impilo yabo engcupheni.
"
"""kuba buhlungu kithi sibarholi bakarhulumende ukubona abantu bekhethu bafulathela iinsetjenziswa zezepilo eziphephileko nezasimahla, ngonobangela owaziwa ngibo, ukuyokulahla imalabo yokugcina kungakafaneli ngokubhadela umuntu ozokubeka ipilwabo engozini.
","asikho isizathu sokuthi abesifazane balungise iphutha lokukhulelwa okungahlelelwe ngokukhipha isisu ngendlela engaphephile futhi engekho emthethweni ngoba sonke siyawenza amaphutha.
"
"akunasizathu esenza abomma balungise umtjhapho wokuzithwala bangakazilungiseleli ngokurhulula umbungu ngendlela engakaphephi nengekho emthethweni, ngoba soke siyayenza imitjhapho.
","ukukhipha isisu ngendlela engekho emthethweni akusona isisombululo,"" kusho udkt dhlomo.
"
"ukurhulula umbungu ngokungasimthetho akulungisi litho,"" kutjho udorh.
","umnyango wezempilo unezikhungo zezempilo zomphakathi ezingama346 ezihlinzeka ngokukhishwa kwesizu okuphephile, ethasisela.
"
"dhlomo.
","lezi zikhungo zitholakala empumalanga kapa (46), efreyistata (16), egauteng (25), kwazulunatali (56), elimpopo (54), empumalanga (27), enyakatho kapa (6), enyakatho ntshonalanga (26) kanye nasentshonalanga kapa (90).
"
"ungezelelangokuthi, umnyango wezepilo unamaziko wezepilo wombuso ama346 anikela ngesizo lokurhulula umbungu ngendlela ephephileko.
","izinkinga ezidalwa ukukhipha isisu ngokungemthe tho ibamba likamqondisi wezempilo yomntwana nabesifazane emnyangweni wezempilo kwazulunatali, uphalanndwa muthuphei, uthi abesifazane bangabhekana nezinkinga eziningi uma bekhipha isisu emtholampilo ongekho emthethweni.
"
"amaziko laasepumalanga kapa (ama46), efreyistata (ali16), egauteng (ama25), kwazulunatala (ama56), elimpopo (ama54), empumalanga (ama27), etlhagwini kapa ( mathandathu), etlhagwini tjingalanga (ama26) ne tjingalanga kapa (ama90).
","""inkinga yokuqala ngqa ifaka ukopha kakhulu, ukudabuka komlomo wesibeletho, ukumoshakala kwezitho zangasese nasesiswini, ukusuleleka ngamagciwane ngaphakathi esiswini kanye nobuthi egazini.
"
"ukuhlangahlangana okubangelwa kurhulula umbungu ngokungasimthetho umjaphethekamnqophisi wehlelo lepilo yabentwana nabomma emnyangweni wezepilo kwazulunatala, uphalanndwa muthuphei, uthi abomma bangaba nemiraro eminengi nabarhulula umbungu emtholapilo ongasasebenzi ngokomthetho.
","""emva kwesikhathi eside, abesifazane bangaba sengcupheni yokungatholi abantwana, ukuhlala kombungu ngaphandle kwesibeletho, ukuchitheka kwesisu noma ukubeletha kungakafiki isikhathi noma ukufa imbala,"" kusho umuthuphei.
"
"""imiraro leyo kungaba kukopha khulu, ukudabuka kwesibeletho, ukulimala okumasikizi kwezitho zobufazi namathumbu, ukugula kwamathumbu nokungenwa kweengazi yitjhefu.
","""abesifazane bangaphinde bashayeke ngokomuzwa ngenxa yokukhipha isisu okungaphephile, nokungekho emthethweni, okubandakanya ukucindezeleka emva kokukhipha isisu, ukhwantalala kanye nezinkinga kwezobudlelwano.
"
"""ngemva kwesikhathi, abomma bangaqalana nengozi yokungasaba nembeleko, umntwana okhulela ngaphakathi kwetjhubhu, ukubuya endlelelni namkha ukubeletha ngaphambi kwesikhathi ngitjho nokuhlongakala imbala,"" kutjho umuthuphei.
","""ukukhipha isisu ngokungemthetho kungaholela futhi emiphumeleni engemihle kwezenhlalomnotho kwabesifazane, izingane, imindeni kanye nemiphakathi,"" engeza.
"
"""abomma bangathinteka nangokwemizwa ngonobangela wokurhulula umbungu ngendlela engakaphephi nengekho emthethweni, okufaka hlangana ukuhlangahlangana, ukugandeleleka ngokomkhumbulo nemiraro yokwakha ubuhlobo nabanye abantu.
","izindlela zokukhipha isisu ngokusemthe thweni umuthupei uthi abesifazane abafuna ukukhipha isisu banezindlela eziphephile futhi ezimahhala ukwenza lokho emitholampilo nasezibhedlela zikahulumeni.
"
"ungezelela ngokuthi, ""ukurhulula umbungu ngendlela engakaphephi kungaba nomthelela omumbi ukuya ngokwezehlalakuhle yabomma, yabentwana, imindeni nomphakathi"".
","""izindlela ongakhetha kuzona kufanele zibe khona, zonke okumele zenziwe udokotela noma umhlengikazi oqeqeshiwe futhi owaziyo umsebenzi,"" engeza.
"
"iindlela zokurhulula umbungu ezisemthethweni umuthuphei uthi abomma abafuna ukurhulula umbungu baneendlela eziphephileko nezasimahla zokwenza njalo emitholapilo neembhedlela zombuso.
","lezi zindlela, kungaba ukukhipha isisu ngendlela yokwelapha noma yokuhlinzwa, kume ekuthini owesifazane usekhulelwe isikhathi esingakanani.
"
"uthi, ""iindlela zokurhulula umbungu kufuze zihlale zikhona godu umsebenzi loyo kufuze wenziwe ngudorhodere obanduliweko nonelemuko namkha umhlengi ogunyaziwekoiindlela zokurhurhulula umbungu, okungenziwa ngeenhlahla namkha ngokuhlinzwa, zilawulwa kukuthi umma loyo unesikhathi eside kangangani asebantwini.
","ukukhipha isisu ngendlela yokwelapha, okufaka ukuthatha amasethi amabili amaphilisi ukukhipha isisu, kungenziwa kokhulelwe ukufika emasontweni ayisishiyagalolunye.
"
"ukurhululaumbungu ngokusebenzisa iinhlahla, okufaka hlangana ukusela imihlobo emibili yamapilisi yokurhulula umbungu, kungenziwa ukufikela eemvekeni ezilithoba umuntu asebantwini.
","""isiguli sizobe sesikhipha isisu ekhaya hhayi emtholampilo noma esibhedlela,"" kusho umuthuphei.
"
"""nakube ozithweleko usese ngaphakathi kweemveke ezilithoba azithwele, angarhulula asekhaya, hayi etlinigi namkha esibhedlela,"" kutjho umuthuphei.
","ukukhipha isisu ngendlela yokuhlinzwa kwenziwa ngumhlengikazi osemthethweni (ukuya emasontweni ayi12) noma udokotela (kusuka emasontweni ayi12 kuya kwangama20).
"
"ukurhulula umbungu ngokuhlinzwa kwenziwa mhlengi ogunyaziweko (emuntwini osele asebantwini ukufikela eemvekeni ezili12) namkha udorhodere (ukusukela eemvekeni ezili12 ukuyokufika kezima20 asebantwini).
","ngokomthetho wokuzikhethela ukukhipha isisu wangowe1996 (umthetho wama92 wangowe1996), ukukhipha isisu kungenziwa futhi ukusuka emasontweni ayi13 kuya kwangama20 uma udokotela, emva kokuxoxisana nowesifazane okhulelwe, ukholelwa ukuthi: ukuqhubeka nokukhulelwa kubeka engozini impilo yowesifazane ngokomzimba noma ngokwengqondo.
"
"ukuya ngokomthetho wokuzikhethela ukurhulula umbungu (umthetho nomboro 92 we1996), umbungu ungarhululwa lokha umuntu aneemveke ezili13 ukufikela kezima20 lokha udorhodere, emva kokukhulumisana nomma osebantwini akholelwa ukuthi: ukuraga nokuba sebantwini kunengozi emzimbeni namkha emkhumbulwenakhe.
","kunobungozi obukhulu bokuthi umbungu ungahaqwa isimo esingajwayelekile ngokomzimba noma ngokwengqondo.
"
"kungaba nengozi ekulu yokuthi umbungu ungalimala namkha urholophale ngokomkhumbulo.
","owesifazane ukhulelwe ngenxa yokudlwengulwa noma yokulalana kwezihlobo.
"
"ukuba sebantwini kumphumela wokukatwa namkha wokuchiselana umseme nelunga lomndeni.
","ukuqhubeka nokukhulelwa kuzokhinyabeza izimo zenhlalo noma zomnotho zowesifazane.
"
"ukuba sebantwini kukamma kuzokuba nomthelela omumbi ebujameni bakhe bezehlalakuhle nezomnotho.
","ukukhipha isisu kungenzeka futhi emva kwesonto lama20 uma udokotela, emva kokuxoxisana nombelethisi osemthethweni, ukholelwa ukuthi ukuqhubeka nokukhulelwa kuzobeka engozini impilo yowesifazane, kungaholela ekonakaleni kombungu noma kunobungozi bokulimala kombungu.
"
"umbungu ungarhululwa nangemva kweveke yama20 lokha udorhodere, ngemva kokukhulumisana nomhlengi ombelethisi ogunyaziweko, bakholwa ukuthi ipilo kamma osebantwini ingalimala, kube nokurholophala kombungu namkha ingozi kiwo.
","ngokusho komthetho, bonke abesifazane, ngisho ngabe yizingane ezingaphansi kweminyaka eyi18 ubudala, banelungelo lokukhipha isisu.
"
"ukuya ngomthetho, boke abomma, ngitjho nabaneminyaka engaphasi keli18, banelungelo lokurhulula umbungu.
","abayidingi imvume yomzali noma yomnakekeli wabo.
"
"ukuya ngokomnyango wezepilo wetjingalanga kapa, nawumncani, uzokululekwa ukuthi ukhulumisane nomuntu omkhulu omthembako ukhambe naye ngelanga obekelwe lona lokurhulula umbungu.
","ngokusho komnyango wezempilo entshonalanga kapa, uma uyingane, uzokwelulekwa ukuthi ukhulume nomuntu omdala ongamethemba kanye nokuza nomuntu ozokuphelezela uma uze emtholampilo.
"
"nanyana kunjalo, nokho, awukakatelelwa ukwenza lokho.","nomakunjalo, awuphoqiwe ukukwenza lokhu."
