ssw,afr
"kuhushula sisu lokuphephile nalokusemtsetfweni kumahhala allison cooper asikho sizatfu sekutsi bomake basebentise imitfolamphilo lengekho emtsetfweni nendlela lengakaphephi nangabe bafuna kuhushula sisu.
","veilige en wettige aborsies is gratis allison cooper daar is geen regverdiging vir vrouens om n onwettige en onveilige aborsiekliniek te besoek as hulle hul swanger skappe wil beëindig nie.
"
"loku kushiwo lisekela lendvuna yetemphilo, dkt.
","dit is volgens die adjunkminister van gesondheid, dr. sibongiseni dhlomo, wat verduidelik dat alle vrouens ingevolge die wet die reg het om hul swangerskappe tydens die eerste 12 weke gratis by n staatshospitaal of kliniek te beëindig.
"
"sibongiseni dhlomo, lochaza kutsi, ngekwemtsetfo, bonkhe bomake banelilungelo lekuhushula tisu, mahhala, emtfolamphilo wahulumende nome esibhedlela sahulumende ngesikhatsi semaviki ekucala la12.
","""dit kwel ons, as regeringsleiers, om te sien hoe ons mense veilige en gratis gesondheidsdienste verlaat, om welke rede ook al, om die laaste geld wat hulle nie het nie te betaal aan iemand wat hul lewens in gevaar stel.
"
"""kusivisa buhlungu tsine njengebaholi bahulumende kubona bantfu bakitsi bayekela tinsita tetemphilo letiphephile netamahhala, akukhatsalekile kutsi bakwenta ngasiphi sizatfu loko, bahambe bayewusebentisa imali yabo yekugcina labete nanayo bayewukhokhela umuntfu lotawubeka imphilo yabo ebungotini.
","daar is geen regver diging vir vrouens om n onwettige en onveilige aborsiekliniek te gebruik as hulle hul swanger skappe wil beëindig nie.
"
"kute sizatfu lesinebulungiswa lesingenta bomake kutsi balungise kukhulelwa lokungakahlelwa ngekusebentisa indlela lengekho emtsetfweni nalengakaphephi yekuhushula leso sisu ngobe sonkhe siyawenta emaphutsa.
","onwettige aborsie is nie die antwoord nie,"" sê dr. dhlomo.
"
"kuhushula sisu lokungekho emtsetfweni akusiyo imphendvulo,"" kusho dkt.
","die departement van gesondheid het 346 staatsgesondheidsfasiliteite wat dienste vir die veilige beëindiging van swangerskappe verskaf, voeg hy by.
"
"dhlomo.
","dié fasiliteite is in die ooskaap (46), vrystaat (16), gauteng (25), kwazulunatal (56), limpopo (54), mpumalanga (27), noordkaap (ses), noordwes (26) en weskaap (90) geleë.
"
"litiko letemphilo linetisetjentiswa tetemphilo letinge346 letisita ngekuhushula tisu ngendlela lephephile, kwengeta yena.
","komplikasies van onwettige aborsies die waarnemende direkteur van moederen kindergesondheid by kwazulunatal se departement van gesondheid, phalanndwa muthuphei, sê dat vrouens heelwat komplikasies kan ervaar wanneer hulle n aborsie by n onwettige aborsie kliniek kry.
"
"letisetjentiswa tetemphilo titfolakala emphumalanga kapa (46), efreyistata (16) egauteng (25), kwazulunatal (56), elimpopo (54), empumalanga (27), enyakatfo kapa (6) enyakatfo nshonalana (26) nasenshonalanga kapa (90) tinkinga tekuhushula sisu ngalokungekho emtsetfweni libambela lemcondzisi wetabomake nebantfwana nemphilo yabomake elitikweni letemphilo kwazulunatal, phalanndwa muthuphei, utsi bomake bangahlangabetana netinkinga letinyenti nabahushula tisu emtfolamphilo wekuhushula tisu longekho emtsetfweni.
","""die onmiddellike komplikasies behels ernstige bloeding, die serviks wat skeur, ernstige skade aan die geslagsdele en buik, inwendige infeksie van die buik en bloedvergif tiging.
"
"""tinkinga tamasinyane tifaka ekhatsi kopha kakhulu, kudzabuka kwemlomo wesibeletfo, konakala kakhulu kwetitfo tangasese kanye nesisu, kutseleleka ngelufu ngekhatsi esiswini kanye nekungenwa ngushevu kwengati.
","""vrouens kan oor die langtermyn n effens verhoogde vlak van onvrugbaarheid, n ektopiese swangerskap, n miskraam of voortydige geboorte of selfs die dood in die gesig staar,"" sê muthuphei.
"
"""ngekuhamba kwesikhatsi, bomake bangahlangabetana nekwenyuka kancane kwebungoti bekungakhulelwa, kukhulelwa lokwenteka eshubhini lesibeletfo, konakalelwa sisu nome kutfola umntfwana sikhatsi sisengakafiki nome kufa,"" kusho muthuphei.
","""vrouens kan ook, as gevolg van n onveilige, onwettige aborsie emosioneel daaronder lei, waaronder posttrauma tiese stresversteuring, depressie en probleme met interpersoonlike verhoudings.
"
"""bomake bangaphindza futsi babe netinkinga temoya ngenca yekuhushula sisu lokungekho emtsetfweni nalokungakaphephi, lokufaka ekhatsi kudzinwa kwangemuva kwaleso sento, kuba phasi emoyeni, kanye netinkinga tebudlelwane emkhatsini webantfu labaphilisana nabo.
","""onveilige aborsies kan ook n negatiewe sosioekonomiese impak vir vrouens, kinders, gesinne en gemeenskappe inhou,"" voeg sy by.
"
"""kuhushula sisu lokungakaphephi kungaholela futsi kumtselela wetenhlalomnotfo lomubi kubomake, kubantfwana, emindenini kanye nasemimangweni,"" kwengeta yena njalo.
","wettige aborsiekeuses muthuphei sê dat vrouens wat hul swangerskappe wil beëindig, veilige en gratis keuses het om dit by staatshospitale en klinieke te doen.
"
"tindlela tekuhushula sisu ngalokusemtse tfweni muthuphei utsi bomake labafisa kuhushula tisu banendlela lephephile futsi yamahhala kutsi bangakwenta loko emitfolamphilo nasetibhedlela.
","""daar behoort n reeks metodes beskikbaar te wees wat deur n opgeleide en ervare doktor of professionele verpleër uitgevoer word,"" voeg sy by.
"
"""kutikhetsela tindlela kufanele kutsi kube khona, tonkhe leto tindlela kufanele kutsi tentiwe ngudokotela loceceshiwe nalonesipiliyoni nome kwentiwe ngumhlengikati loyingcweti,"" kwengeta yena.
","die keuses, hetsy mediese of sjirurgiese aborsie, hang af van hoe gevorderd die vrou se swangerskap is.
"
"letindlela tingaba tekuhushula sisu ngekwelashwa nome ngekuhlindvwa, kuya ngekutsi sesinesikhatsi lesingakanani leso sisu salowo make.
","mediese aborsie, wanneer twee stelle pille toegedien word om die swangerskap te beëindig, kan tot en met nege weke gedoen word.
"
"indlela yekwelashwa, ifaka ekhatsi kunatsa emasethi lamabili emaphilisi ekuhushula sisu, lokuyintfo lengentiwa sisu sidzimate sibe nemaviki layimfica sikhona.
","""die pasiënt sou dan die fetus tuis aborteer en nie by n kliniek of hospitaal nie,"" sê muthuphei.
"
"""leso sigulane sitawubeseke sihushula lowo mbungu ekhaya hhayi emtfolamphilo nome esibhedlela,"" kusho muthuphei.
","sjirurgiese aborsies word deur n geregistreerde verpleër (tot en met 12 weke) of n mediese dokter (vanaf 12 tot 20 weke) uitgevoer.
"
"kuhushula sisu ngekuhlindvwa kwentiwa ngumhlengikati lobhalisiwe (sisu nasesinemaviki lasa12) nome kwentiwe ngudokotela (kusukela sisu nasesinemaviki la12 kuya kulange20).
","n aborsie kan ook, inge volge die wet op keuse oor die beëindiging van swangerskap, wetnr.
"
"ngekulandzela umtsetfo wekutikhetsela kuhushula sisu (umtsetfo nombolo 92 wanga1996), kuhushula sisu kungentiwa kusukela sisu nasesinemaviki la13 kuya kulange20 nangabe dokotela, ngemuva kwekubonisana nalowo make lotetfwele, akholwa kutsi: kuchubeka nekukhulelwa kutawuba nebungoti bekulimala kwalomake emtimbeni nome engcondvweni.
","92 van 1996 (die wet), vanaf 13 tot 20 weke uitgevoer word as n dokter, in oorleg met n swanger vrou, glo dat: die voortgesette swangerskap n beseringsrisiko vir die vrou se fisiese of geestelike gesondheid inhou.
"
"kunebungoti lobukhulu bekutsi lombungu utawulimala kakhulu emtimbeni nome ungabi nengcondvo lephelele kahle.
","daar n wesenlike risiko is dat die fetus onder n ernstige fisiese of geestelike abnormaliteit gebuk sal gaan.
"
"lokukhulelwa kungenca yekugagadlelwa nome kulala nesihlobo sengati.
","die swangerskap voortspruit uit verkragting of bloedskande.
"
"kuchubeka nekukhulelwa kutawuba nemtselela lomubi kakhulu kutimo temnotfo nome tenhlalo talomake lotetfwele.
","die voortgesette swangerskap die vrou se maatskaplike of ekonomiese omstandighede beduidend sal beïnvloed.
"
"kuhushulwa kwesisu kungentiwa futsi ngemuva kwemaviki lange20 nangabe dokotela, ngemuva kwekubonisana nembelekisi lobhalisiwe, akholelwa ekutseni kuchubeka nekukhulelwa kutawufaka engotini imphilo yamake lotetfwele, kuholele ekonakaleni lokukhulu kwembungu nome kube nebungoti nome kulimala kwembungu.
","n aborsie kan ook na die 20ste week plaasvind as n dokter, in oorleg met n geregistreerde vroedvrou, glo dat die voortgesette swangerskap die vrou se lewe in gevaar sou stel, tot wanvorming van die fetus sou lei of die risiko van besering aan die fetus sou inhou.
"
"ngekusho kwemtsetfo, bonkhe bomake, ngisho nome ngabe bancane bangephasi kweminyaka le18, banelilungelo lekuhushula sisu.
","alle vrouens, selfs al is hulle onder die ouderdom van 18 en dus minderjarig, het ingevolge die wet die reg om n swangerskap te beëindig.
"
"abayidzingi imvume yebatali nome yemnakekeli wabo.
","hulle benodig nie hul ouers of voog se toestemming nie.
"
"ngekusho kwelitiko letemphilo lasenshonalanga kapa, nangabe usasemncane, utakwelulekwa kutsi ukhulume nemuntfu lomdzala lometsembako nekutsi ute nalomunye kulesimisokuhlangana sekwenta loko.
","minderjariges sal, volgens die weskaapse departement van gesondheid, aangeraai word om met n volwassene wat hulle vertrou te praat en iemand saam te bring na hul afspraak.
"
"nanome kunjalo, awukacindzeteleki kutsi ukwente loko.",dis egter nie verpligtend nie.
