ven,tsn
"u swikisa mbilahelo kha gepf zwazwino zwo no leluwa vukuzenzele unnamed miraḓo, vhano thi khathihi na vhathu vhane vha wana mbuelo u bva kha tshikwama tsha phe ntsheni tsha vhashumeli vha muvhuso (gepf) zwa zwino hu na hune vha nga wana hone thuso arali vha sa khou fushea nga tshu melo ine vha khou i wana.
","go nolofatsa thulaganyo ya go tlhatlhela ngongora ya gepf vukuzenzele unnamed ditokololo, batlha nkedi ba ba rolang tiro le bajalefa ba letlole la go tlamela ba diredi ba puso fa ba rola tiro (gepf) botlhe jaanong go na le koo ba ka lelelang teng fa go na le tirelo epe fela e ba sa e kgotsofale lang mo letloleng leno.
"
"u itela u vhona uri miraḓo ya gepf na vha miṱa yavho vha khou farwa zwavhuḓi, bodo yo ḓo vula ofisi ine ya ḓo sedzana na mbilahelo.
","boto ya gepf sešweng jaana e tlhomile kantoro e e tla samaganang le dingongora go netefatsa gore dikeledi tsa ditokololo tsa letlole leno mmogo le ba malapa a bona ga di wele mo fatshe.
"
"mulamukanyi wa phentsheni dza vhashu meli vha muvhuso (gepo) ndi ofisi ya nga ngomu fhedzi yo ḓiimisaho nga yoṱhe ya gepf.
","kantoro ya moombate wa letlole la go tlamela badiredi ba puso fa ba rola tiro (gepo) ke kantoro e e leng ka fa gare ga setheo sa gepf mme fela yona ga e tsee letlhakore.
"
"gepf ndi tshiṅwe tsha zwikwama zwa phentsheni zwihulwanesa ḽifhasini tshine tsha vha na miraḓo i fhiraho 1.2 miḽioni khathihi na vhano thi hu tshi katelwa na vhaḽaifa vha linganaho 450 000. tshi kwama itshi tsho thomiwa na u langwa u ya nga mulayo wa phentsheni dza vhashumeli vha muvhuso.
","gepf ke e nngwe ya ditheo tse dikgolo mo lefatsheng tsa matlole a go rola tiro, e na le ditokololo di le 1.2 milione ba ga jaana ba santseng ba le mo tirong, le batlhankedi ba ba rotseng tiro mmogo le bajalefa ba bangwe ba feta ba le 450 000. letlole leno le tlhomilwe le go laolwa go ya ka molao wa letlole la go tlamela badiredi ba puso fa ba rola tiro.
"
"muambeli vho makhado ramabulana vho tholwa sa vhone mulamukanyi.
","moatefokate makhado ramabulana ke ene yo a tha pilweng go nna moombata.
"
"vho amba uri ofisi iyo yo itelwa u thusa vhathu vhane a vha khou takadzwa nga tshumelo dza gepf.
","a re kantoro eno e tlhomilwe ka maitlhomo a go thusa batho ba ba sa kgotsofadiweng ke ditirelo tsa gepf.
"
"i ḓo vhuedza vhathu vhane vha sa kone u swikela mba delo dza thuso ya zwa mulayo.
","kantoro eno e tla tswela mosola batho ba ba senang dithata tsa go ka isa setheo seno kwa kgotlatshekelo.
"
"phanḓa ha musi vhathu vha tshi swikisa mbilahelo dzavho kha ofisi ya mutsireledzi wa tshitshavha kana khothe, vha nga humbela u wana thuso ya vhulamukanyi kha ofisi iyi ya mulamukanyi.
","pele batho ba tseela setheo seno dikgato ka go se buletsa kwa kantorong ya mosire letsi wa setšhaba kgotsa go se isa kwa kgotlatshekelo, ba ka ikopela mo go kantoro ya moombata go ba thusa go rarabolola matsapa a ba nang le ona le setheo seno.
"
"ofisi ya mulamukanyi i ḓo dzhenelela kha mafhungo ane a itisa uri hu vhe na tshi lengo kha u dzudzanywa ha mbadelo dzine dza khou tea u badelwa kha vhaiti vha mbilo dzenedzo.
","kantoro ya moombata e tla thusa go rarabolola matsapa a a tsamaisanang le tiego ya go duelela badiradikopo mo go nang le mabaka a a sa utlwagaleng a a tlhodileng tiego eno.
"
"ofisi iyi i nga dzhe nelela fhedzi kha mbilahelo dze dza vha hone kha tshif hinga tsha miṅwaha miraru yo fhiraho.
","kantoro eno e tla thusa go rarabolola fela di ngongora tse di nang le sebaka sa dingwaga di le tharo di ise di rarabololwe.
"
"maṅwe mafhungo ane a wela nga fhasi ha ofisi ya gepo a katela: u kundelwa ha vha ofisiri u ita mushumo wavho u ya nga milayo na maitele a tshi kwama; u sa sumbedza vhu ḓikumedzeli ho teaho ngeno hu si na tshiitisi tshi pfalaho, khathihi na mafhungo ane a si vhe one kana a kanganyi saho e a ṋetshedzwa nga mushumeli wa gepf.
","dingongorego tse dingwe tse di welang mo matsogong a gepo ke tse di latelang: fa batlhankedi ba setheo seno ba sa dire tiro ya bona go ya ka melao le melawa na ya letlole leno; go se diragatse tsholofe tso ntle le go tlhalosetsa motho mabaka a a utlwa galang a go se diragatse tsholofetso eo; mmogo le fa motlhankedi wa gepf a abelana ka tshedimose tso e e fosagetseng kgotsa e e latlhetsang.
"
"phanḓa ha musi vha tshi swikisa mbilahelo kha gepo, vha tea u rumela mbilahelo nga u tou ṅwala kha gepf, zhendedzi ḽa ndangulo ya phentsheni ya muvhuso (gpaa) kana kha mutholi wavho, vha vha ṋee tshifhinga tsha uri vha tandulule thaidzo yavho.
","pele motho a romela ngo ngora ya gagwe kwa kanto rong ya gepo, o tshwanetse a simolole pele ka go kwalela gepf ka ngongora yagagwe kgotsa a kwalele setheo sa tsamaiso ya letlole la go tlamela badiredi ba puso fa ba rola tiro (gpaa) kgotsa a kwalele mothapi wa gagwe mme a ba neye sebaka gore ba ipatlisise ba tle ba kgone go tsibogela ngongora ya gagwe.
"
"""vha tea u vha ṋea maḓuvha a 30 u tandulula thaidzo yavho ye vha i sumbedzisa.
","""o tla tshwanelwa ke go ba naya sebaka sa matsatsi a le 30 gore ba rarabolole matsapa a a leng teng.
"
"arali, nga murahu ha maḓuvha a 30, mbilahelo dzavho dza vha dzi sathu tandululea, vha nga konaha u swikisa mbilahelo kha ofisi ya mulamukanyi,"" hu ṱalutshedza vho ramabulana.
","fa matsatsi a le 30 a ka feta mme ngongora ya gago e ise e rarabololwe, ke teng mo o ka romelang ngo ngora ya gago kwa go kantoro ya moombata,"" ramabulana o tlhalositse jalo.
"
"ofisi ya mulamukanyi i nga si kone u ṱanganedza mulandu arali ho no vha na dziṅwe ṱhoḓisiso dzi re kati huṅwe fhethu.
","kantoro ya moombata ga e kitla e samagana le ngongora e e setseng e le mo diatleng tsa setheo se sengwe se se dirang dipatlisiso tsa semmuso ka ngongora eo.
"
"nga murahu ha vhege mbili u bva ḓuvha ḽe mbilahelo ya ṱanganedzwa ngaḽo, gepo i ḓo dzhia mulandu ya kona u ḓivhadza uyo muvhigi wawo arali i tshi nga kona u bvela phanḓa na ṱhoḓisiso khathihi na u ṋea khaṱhulo kha fhungo ḽeneḽo.
","""e tla re morago ga dibeke di le pedi ngongora e setse e amogetswe gepo ya sekaseka ngongora eo mme ya tsibosa mong wa ngongora gore e tla sala morago kgotsa e ka se kgone go sala morago ngongora ya gagwe.
"
"arali ofisi ya mulamukanyi i tshi nga hana u ṱoḓisisa mbilahelo, muvhigi wa mbi lahelo yeneyo a nga konaha u ṅwalela ofisi ya gepo hu sa athu fhela maḓuvha a 21 a tshi ṋea na mbuno dza uri ndi ngani a tshi vhona uri mbilahelo iyo i wela kha vhuḓifhinduleli ha gepo.","""fa katoro eno ya moo mbata e re e ka se kgone go sala morago ngongora ya mongongoregi, mongongo regi a ka kwalela katoro eno pele ga matsatsi a le 21 a ka feta, morago ga go amogela karabo eno go tswa mo ka ntorong eno, go e tlhalo setsa mabaka a gore goreng a dumela gore ngongora ya gagwe e tsamaelana sentle le tiro e e welang mo diatleng tsa yona."
